time,ref,meas,u,target_h,error
33.7,,-0.63905143737793,-0.63905143737793,-0.35999966,-0.03999996
33.8,,-0.390160441398621,-0.390160441398621,-0.35999966,-0.03999996
33.9,,-0.488574922084808,-0.488574922084808,-0.35999966,-0.03999996
34,,-0.307600498199463,-0.307600498199463,-0.35999966,-0.03999996
34.1,,-0.639571011066437,-0.639571011066437,-0.35999966,-0.03999996
34.2,,-0.390445470809936,-0.390445470809936,-0.35999966,-0.03999996
34.3,,-0.488731324672699,-0.488731324672699,-0.35999966,-0.03999996
34.4,,0.108681738376617,0.108681738376617,-0.35999966,-0.03999996
34.5,,-0.862286627292633,-0.862286627292633,-1.1499989,-0.049999952
34.6,,-0.512639939785004,-0.512639939785004,-1.1499989,-0.049999952
34.7,,-0.139406129717827,-0.139406129717827,0.33999968,-0.03999996
34.8,,-0.116026684641838,-0.116026684641838,0.33999968,-0.03999996
34.9,,-0.534462749958038,-0.534462749958038,-0.35999966,-0.03999996
35,,0.083590865135193,0.083590865135193,-0.35999966,-0.03999996
35.1,,-0.228648111224174,-0.228648111224174,-0.35999966,-0.03999996
35.2,,-0.16498988866806,-0.16498988866806,0.4299996,-0.029999971
35.3,,-0.144958734512329,-0.144958734512329,-0.35999966,-0.03999996
35.4,,-0.119073152542114,-0.119073152542114,-0.26999974,-0.029999971
35.5,,0.076526939868927,0.076526939868927,0.4299996,-0.029999971
35.6,,0.002446442842484,0.002446442842484,-0.26999974,-0.029999971
35.7,,-0.469461679458618,-0.469461679458618,-0.26999974,-0.029999971
35.8,,0.119254142045975,0.119254142045975,-0.26999974,-0.029999971
35.9,,-0.209081217646599,-0.209081217646599,0.5199995,-0.01999998
36,,-0.154254376888275,-0.154254376888275,-0.26999974,-0.029999971
36.1,,0.523196816444397,0.523196816444397,-0.17999983,-0.01999998
36.2,,0.247514858841896,0.247514858841896,1.3099988,-0.00999999
36.3,,-0.33500325679779,-0.33500325679779,-0.17999983,-0.01999998
36.4,,-0.253850489854813,-0.253850489854813,-0.089999914,-0.00999999
36.5,,-0.165547370910645,-0.165547370910645,0.6099994,-0.00999999
36.6,,-0.130369246006012,-0.130369246006012,-0.089999914,-0.00999999
36.7,,0.119933515787125,0.119933515787125,0.69999933,0
36.8,,0.026261754333973,0.026261754333973,0.69999933,0
36.9,,-0.26010212302208,-0.26010212302208,0,0
37,,0.035484731197357,0.035484731197357,0.78999925,0.00999999
37.1,,-0.006801666691899,-0.006801666691899,0.78999925,0.00999999
37.2,,0.174459710717201,0.174459710717201,0.089999914,0.00999999
37.3,,0.069447889924049,0.069447889924049,0.089999914,0.00999999
37.4,,0.660827875137329,0.660827875137329,0.87999916,0.01999998
37.5,,0.088056832551956,0.088056832551956,0.089999914,0.00999999
37.6,,0.226504474878311,0.226504474878311,0.17999983,0.01999998
37.7,,0.098002597689629,0.098002597689629,0.089999914,0.00999999
37.8,,0.231961280107498,0.231961280107498,0.17999983,0.01999998
37.9,,0.545529842376709,0.545529842376709,0.87999916,0.01999998
38,,0.477500081062317,0.477500081062317,0.17999983,0.01999998
38.1,,0.23571303486824,0.23571303486824,0.17999983,0.01999998
38.2,,0.059276841580868,0.059276841580868,0.17999983,0.01999998
38.3,,0.450785398483276,0.450785398483276,0.9699991,0.029999971
38.4,,0.425517916679382,0.425517916679382,0.9699991,0.029999971
38.5,,0.207192659378052,0.207192659378052,0.26999974,0.029999971
38.6,,0.291869133710861,0.291869133710861,1.0600084,0.04000008
38.7,,0.578398704528809,0.578398704528809,0.26999974,0.029999971
38.8,,0.49553382396698,0.49553382396698,-0.43000793,0.029999971
38.9,,0.24560734629631,0.24560734629631,0.26999974,0.029999971
39,,0.064705424010754,0.064705424010754,0.26999974,0.029999971
39.1,,0.45376381278038,0.45376381278038,1.0600084,0.04000008
39.2,,0.427152037620544,0.427152037620544,0.26999974,0.029999971
39.3,,0.208089232444763,0.208089232444763,-0.43000793,0.029999971
39.4,,0.292361050844193,0.292361050844193,1.0600084,0.04000008
39.5,,0.578668594360352,0.578668594360352,1.0600084,0.04000008
39.6,,0.07931387424469,0.07931387424469,0.36000073,0.04000008
39.7,,0.01724548637867,0.01724548637867,0.36000073,0.04000008
39.8,,0.187653347849846,0.187653347849846,0.36000073,0.04000008
39.9,,0.104851983487606,0.104851983487606,0.36000073,0.04000008
40,,0.235719233751297,0.235719233751297,0.36000073,0.04000008
40.1,,0.103058338165283,0.103058338165283,0.36000073,0.04000008
40.2,,-0.181632876396179,-0.181632876396179,0.36000073,0.04000008
