# Time (s), Input signal, Derivative, Derivative positive, Derivative negative
8.800000000000000044e-01,5.551945765297491953e+00,6.041894262841296381e-01,6.041894262841296381e-01,0.000000000000000000e+00
8.900000000000000133e-01,5.557982212078458772e+00,6.036446780966819858e-01,6.036446780966819858e-01,0.000000000000000000e+00
9.000000000000000222e-01,5.564013151800259571e+00,6.030939721800798736e-01,6.030939721800798736e-01,0.000000000000000000e+00
9.100000000000000311e-01,5.570038524939952218e+00,6.025373139692646873e-01,6.025373139692646873e-01,0.000000000000000000e+00
9.200000000000000400e-01,5.576058272029539076e+00,6.019747089586857669e-01,6.019747089586857669e-01,0.000000000000000000e+00
9.300000000000000488e-01,5.582072333656544316e+00,6.014061627005240496e-01,6.014061627005240496e-01,0.000000000000000000e+00
9.400000000000000577e-01,5.588080650464608112e+00,6.008316808063796088e-01,6.008316808063796088e-01,0.000000000000000000e+00
9.500000000000000666e-01,5.594083163154070171e+00,6.002512689462058404e-01,6.002512689462058404e-01,0.000000000000000000e+00
9.599999999999999645e-01,5.600079812482553265e+00,5.996649328483094621e-01,5.996649328483094621e-01,0.000000000000000000e+00
9.699999999999999734e-01,5.606070539265548547e+00,5.990726782995281496e-01,5.990726782995281496e-01,0.000000000000000000e+00
9.799999999999999822e-01,5.612055284377001740e+00,5.984745111453193545e-01,5.984745111453193545e-01,0.000000000000000000e+00
9.899999999999999911e-01,5.618033988749894903e+00,5.978704372893162144e-01,5.978704372893162144e-01,0.000000000000000000e+00
1.000000000000000000e+00,5.624006593376829954e+00,5.972604626935051897e-01,5.972604626935051897e-01,0.000000000000000000e+00
1.010000000000000009e+00,5.629973039310609551e+00,5.966445933779596089e-01,5.966445933779596089e-01,0.000000000000000000e+00
1.020000000000000018e+00,5.635933267664822388e+00,5.960228354212837587e-01,5.960228354212837587e-01,0.000000000000000000e+00
1.030000000000000027e+00,5.641887219614419635e+00,5.953951949597247051e-01,5.953951949597247051e-01,0.000000000000000000e+00
1.040000000000000036e+00,5.647834836396299352e+00,5.947616781879716541e-01,5.947616781879716541e-01,0.000000000000000000e+00
1.050000000000000044e+00,5.653776059309885582e+00,5.941222913586230447e-01,5.941222913586230447e-01,0.000000000000000000e+00
1.060000000000000053e+00,5.659710829717706559e+00,5.934770407820977312e-01,5.934770407820977312e-01,0.000000000000000000e+00
1.070000000000000062e+00,5.665639089045973797e+00,5.928259328267238004e-01,5.928259328267238004e-01,0.000000000000000000e+00
1.080000000000000071e+00,5.671560778785162071e+00,5.921689739188273904e-01,5.921689739188273904e-01,0.000000000000000000e+00
1.090000000000000080e+00,5.677475840490583181e+00,5.915061705421109650e-01,5.915061705421109650e-01,0.000000000000000000e+00
1.100000000000000089e+00,5.683384215782966820e+00,5.908375292383638566e-01,5.908375292383638566e-01,0.000000000000000000e+00
1.110000000000000098e+00,5.689285846349034337e+00,5.901630566067517236e-01,5.901630566067517236e-01,0.000000000000000000e+00
1.120000000000000107e+00,5.695180673942074279e+00,5.894827593039941860e-01,5.894827593039941860e-01,0.000000000000000000e+00
