# meas,ref,error,kp,ki,kd,kpd, u
4.507553304800302474e-01,4.550418302731133458e-01,4.286499793083098364e-03,4.286499793083098364e-02,1.968064215814590012e-01,-1.327761482015077377e-03,4.153723644881590626e-02,2.383436580302749075e-01
4.507882508595452697e-01,4.550418302731133458e-01,4.253579413568076006e-03,4.253579413568076006e-02,1.971254400374766180e-01,-1.316815180600894308e-03,4.121897895507986576e-02,2.383444189925564838e-01
4.508209051911477028e-01,4.550418302731133458e-01,4.220925081965642978e-03,4.220925081965642978e-02,1.974420094186240537e-01,-1.306173264097321152e-03,4.090307755555910862e-02,2.383450869741831624e-01
4.508533001546538577e-01,4.550418302731133458e-01,4.188530118459488083e-03,4.188530118459488083e-02,1.977561491775085001e-01,-1.295798540246195785e-03,4.058950264434868505e-02,2.383456518218571851e-01
4.508854413985404208e-01,4.550418302731133458e-01,4.156388874572924941e-03,4.156388874572924941e-02,1.980678783431014667e-01,-1.285649755462525690e-03,4.027823899026672372e-02,2.383461173333681904e-01
4.509173335779225189e-01,4.550418302731133458e-01,4.124496695190826845e-03,4.124496695190826845e-02,1.983772155952407967e-01,-1.275687175283923835e-03,3.996927977662434461e-02,2.383464953718651413e-01
4.509489804731851570e-01,4.550418302731133458e-01,4.092849799928188759e-03,4.092849799928188759e-02,1.986841793302354109e-01,-1.265875810505523447e-03,3.966262218877636414e-02,2.383468015190117750e-01
4.509803851457998003e-01,4.550418302731133458e-01,4.061445127313545456e-03,4.061445127313545456e-02,1.989887877147838990e-01,-1.256186904585732123e-03,3.935826436854972243e-02,2.383470520833336215e-01
4.510115501014096417e-01,4.550418302731133458e-01,4.030280171703704006e-03,4.030280171703704006e-02,1.992910587276616741e-01,-1.246598224393657972e-03,3.905620349264338209e-02,2.383472622203050562e-01
4.510424774413844262e-01,4.550418302731133458e-01,3.999352831728919533e-03,3.999352831728919533e-02,1.995910101900413292e-01,-1.237093598991378940e-03,3.875643471829781639e-02,2.383474449083391455e-01
4.510731689926044674e-01,4.550418302731133458e-01,3.968661280508878342e-03,3.968661280508878342e-02,1.998886597860795034e-01,-1.227662048801647643e-03,3.845895075628713577e-02,2.383476105423666391e-01
4.511036264114099970e-01,4.550418302731133458e-01,3.938203861703348796e-03,3.938203861703348796e-02,2.001840250757072892e-01,-1.218296752221181833e-03,3.816374186481230613e-02,2.383477669405195953e-01
4.511338512617826257e-01,4.550418302731133458e-01,3.907979011330720009e-03,3.907979011330720009e-02,2.004771235015570807e-01,-1.208994014905151460e-03,3.787079609840204864e-02,2.383479195999591294e-01
