time,ref,meas,u,Target
26.4,-0.013216771,-0.274669885635376,-0.274669885635376,-0.703377
26.5,-0.013115328,-1.12114262580872,-1.12114262580872,-0.70436066
26.6,-0.013014663,-0.663184523582459,-0.663184523582459,-0.70533675
26.7,-0.012914771,-0.757292807102203,-0.757292807102203,-0.7063054
26.8,-0.012815646,-0.412926137447357,-0.412926137447357,-0.7072665
26.9,-0.0127172815,-0.862913429737091,-0.862913429737091,-0.7082203
27,-0.012619671,-0.419388920068741,-0.419388920068741,-0.7091668
27.1,-0.012522811,-1.16046822071075,-1.16046822071075,-0.710106
27.2,-0.012426694,-0.673870801925659,-0.673870801925659,-0.711038
27.3,-0.012331315,-0.368018984794617,-0.368018984794617,-0.7119629
27.4,-0.012236668,-0.850710451602936,-0.850710451602936,-0.7128806
27.5,-0.012142748,-0.589698076248169,-0.589698076248169,-0.7137913
27.6,-0.012049547,-1.03312242031097,-1.03312242031097,-0.71469504
27.7,-0.011957063,-0.639266192913055,-0.639266192913055,-0.71559185
27.8,-0.011865289,-0.924418449401856,-0.924418449401856,-0.71648175
27.9,-0.011774219,-0.436102092266083,-0.436102092266083,-0.7173648
28,-0.011683847,-0.621445238590241,-0.621445238590241,-0.7182411
28.1,-0.01159417,-1.21537435054779,-1.21537435054779,-0.7191106
28.2,-0.01150518,-0.810964226722717,-0.810964226722717,-0.7199735
28.3,-0.011416874,-0.971075177192688,-0.971075177192688,-0.7208298
28.4,-0.011329246,-0.471018791198731,-0.471018791198731,-0.7216795
28.5,-0.01124229,0.364372223615646,0.364372223615646,-0.7225227
28.6,-0.011156001,-0.555313408374786,-0.555313408374786,-0.72335935
28.7,-0.011070375,-0.80522620677948,-0.80522620677948,-0.72418964
28.8,-0.010985406,-1.09168934822083,-1.09168934822083,-0.72501355
28.9,-0.01090109,-0.503794133663178,-0.503794133663178,-0.7258311
29,-0.01081742,-0.887605607509613,-0.887605607509613,-0.72664243
29.1,-0.010734392,-0.426098704338074,-0.426098704338074,-0.7274475
29.2,-0.010652002,-0.866492867469788,-0.866492867469788,-0.7282464
29.3,-0.010570245,-0.88978523015976,-0.88978523015976,-0.7290392
29.4,-0.010489115,-0.818868637084961,-0.818868637084961,-0.72982585
29.5,-0.010408606,-0.58104544878006,-0.58104544878006,-0.7306065
29.6,-0.0103287175,-0.908597707748413,-0.908597707748413,-0.7313812
29.7,-0.010249441,-0.431803047657013,-0.431803047657013,-0.73214984
29.8,-0.010170773,-0.324478477239609,-0.324478477239609,-0.73291266
29.9,-0.010092708,-1.13467752933502,-1.13467752933502,-0.73366964
30,-0.010015244,-0.493237316608429,-0.493237316608429,-0.7344208
30.1,-0.009938373,-0.884736955165863,-0.884736955165863,-0.73516613
30.2,-0.009862092,-0.44755744934082,-0.44755744934082,-0.7359058
30.3,-0.009786397,-0.698698878288269,-0.698698878288269,-0.7366398
30.4,-0.009711283,-0.844189405441284,-0.844189405441284,-0.7373681
30.5,-0.009636746,-0.587926030158997,-0.587926030158997,-0.7380909
30.6,-0.009562781,-0.736842274665833,-0.736842274665833,-0.7388081
30.7,-0.009489384,-0.407368987798691,-0.407368987798691,-0.7395198
30.8,-0.009416549,-0.861403346061706,-0.861403346061706,-0.74022603
30.9,-0.009344273,-0.714777112007141,-0.714777112007141,-0.74092686
31,-0.009272553,-0.944937527179718,-0.944937527179718,-0.7416223
31.1,-0.009201383,-0.615303039550781,-0.615303039550781,-0.74231243
31.2,-0.009130759,-0.744281649589539,-0.744281649589539,-0.7429972
31.3,-0.009060677,-0.560777425765991,-0.560777425765991,-0.7436768
31.4,-0.008991133,-1.19888865947723,-1.19888865947723,-0.7443511
31.5,-0.008922123,-0.806484401226044,-0.806484401226044,-0.7450203
31.6,-0.008853643,-1.11426961421967,-1.11426961421967,-0.74568427
31.7,-0.008785688,-0.661316871643066,-0.661316871643066,-0.7463432
31.8,-0.008718255,0.312661170959473,0.312661170959473,-0.74699706
31.9,-0.008651339,-0.273566722869873,-0.273566722869873,-0.7476459
32,-0.008584938,-0.673657476902008,-0.673657476902008,-0.7482898
32.1,-0.008519045,-0.663759589195251,-0.663759589195251,-0.7489287
32.2,-0.008453659,-1.2268728017807,-1.2268728017807,-0.74956274
32.3,-0.0083887745,-0.691915392875671,-0.691915392875671,-0.7501919
32.4,-0.0083243875,-0.765100061893463,-0.765100061893463,-0.7508162
32.5,-0.008260495,-0.566434562206268,-0.566434562206268,-0.75143576
32.6,-0.008197092,-0.904627323150635,-0.904627323150635,-0.7520506
32.7,-0.008134177,-0.575135827064514,-0.575135827064514,-0.75266063
32.8,-0.008071745,-0.810612678527832,-0.810612678527832,-0.753266
32.9,-0.008009791,-0.970979630947113,-0.970979630947113,-0.75386673
33,-0.007948313,-0.448754549026489,-0.448754549026489,-0.75446284
33.1,-0.007887308,-0.872649312019348,-0.872649312019348,-0.7550544
33.2,-0.00782677,-0.595659673213959,-0.595659673213959,-0.7556414
33.3,-0.007766696,-0.738943815231323,-0.738943815231323,-0.7562239
33.4,-0.007707084,-0.855125427246094,-0.855125427246094,-0.75680196
33.5,-0.0076479297,-0.590897798538208,-0.590897798538208,-0.75737554
33.6,-0.007589229,-0.586262941360474,-0.586262941360474,-0.75794476
33.7,-0.0075309793,-0.517837882041931,-0.517837882041931,-0.7585096
33.8,-0.0074731763,-0.891421794891357,-0.891421794891357,-0.75907004
33.9,-0.007415817,-0.427135705947876,-0.427135705947876,-0.7596262
34,-0.007358898,-0.323210179805756,-0.323210179805756,-0.76017815
34.1,-0.007302416,-0.838534235954285,-0.838534235954285,-0.76072586
34.2,-0.0072463676,-0.412764191627502,-0.412764191627502,-0.76126933
34.3,-0.007190749,-0.862869381904602,-0.862869381904602,-0.76180863
34.4,-0.0071355575,-0.888800621032715,-0.888800621032715,-0.76234376
34.5,-0.0070807897,-0.722221970558167,-0.722221970558167,-0.76287484
34.6,-0.0070264423,-0.94696056842804,-0.94696056842804,-0.7634018
34.7,-0.0069725118,-0.464465916156769,-0.464465916156769,-0.7639248
34.8,-0.0069189956,-0.703293561935425,-0.703293561935425,-0.7644437
34.9,-0.0068658898,-0.845437943935394,-0.845437943935394,-0.7649586
35,-0.006813192,-0.980442941188812,-0.980442941188812,-0.7654696
35.1,-0.006760898,-0.747124552726746,-0.747124552726746,-0.76597667
35.2,-0.0067090057,-0.953727543354034,-0.953727543354034,-0.76647985
35.3,-0.006657512,-0.61769163608551,-0.61769163608551,-0.76697916
35.4,-0.006606413,-0.744930684566498,-0.744930684566498,-0.76747465
35.5,-0.0065557067,-0.856752276420593,-0.856752276420593,-0.76796633
35.6,-0.0065053897,-0.209869623184204,-0.209869623184204,-0.76845425
35.7,-0.0064554582,-0.537731170654297,-0.537731170654297,-0.7689384
35.8,-0.0064059105,-0.745440781116486,-0.745440781116486,-0.76941884
35.9,-0.0063567427,-0.561092376708984,-0.561092376708984,-0.7698956
36,-0.0063079526,-0.72955060005188,-0.72955060005188,-0.7703687
36.1,-0.006259537,-0.852572917938232,-0.852572917938232,-0.77083814
36.2,-0.0062114927,-1.12679350376129,-1.12679350376129,-0.771304
36.3,-0.0061638174,-0.786893486976624,-0.786893486976624,-0.7717663
36.4,-0.006116508,-0.572356641292572,-0.572356641292572,-0.772225
36.5,-0.006069562,-0.906236588954926,-0.906236588954926,-0.7726803
36.6,-0.006022976,-0.431161433458328,-0.431161433458328,-0.77313197
36.7,-0.0059767473,-1.16366720199585,-1.16366720199585,-0.77358025
36.8,-0.005930874,-0.970538556575775,-0.970538556575775,-0.7740251
36.9,-0.0058853524,-0.985224008560181,-0.985224008560181,-0.77446645
37,-0.0058401804,-0.626250386238098,-0.626250386238098,-0.7749045
37.1,-0.005795355,-0.920881509780884,-0.920881509780884,-0.7753391
37.2,-0.0057508736,-0.435141026973724,-0.435141026973724,-0.7757704
37.3,-0.0057067336,-0.868950009346008,-0.868950009346008,-0.77619845
37.4,-0.0056629325,-0.890452980995178,-0.890452980995178,-0.7766232
37.5,-0.0056194672,-0.72267097234726,-0.72267097234726,-0.7770446
37.6,-0.0055763363,-0.947082579135895,-0.947082579135895,-0.77746284
37.7,-0.005533536,-0.615885972976685,-0.615885972976685,-0.77787787
37.8,-0.005491064,-0.744440019130707,-0.744440019130707,-0.7782897
37.9,-0.0054489183,-0.560820460319519,-0.560820460319519,-0.7786984
38,-0.005407096,-1.04751348495483,-1.04751348495483,-0.7791039
38.1,-0.0053655948,-0.765350103378296,-0.765350103378296,-0.7795063
38.2,-0.0053244117,-0.566502511501312,-0.566502511501312,-0.7799056
